"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year","abs_increment","tile_band","Location"
"55HEV","NIR",-10,"True",-2.15660531855109,2.6733542480367,-36.1912041409933,47.2532130424252,0.924256306895115,2.75517512796392,"55HEV_B08_10_D",2020,10,"55HEV_B08","Australia"
"49UCP","Blue",15,"False",0.578549429601683,1.50888322237179,30.7643728087324,57.5202460688133,0.922152310886822,2.06908586246049,"49UCP_B02_15_I",2020,15,"49UCP_B02","Mongolia"
"55HEV","Blue",15,"False",2.82655761666163,3.51725277471152,31.6364264842549,42.2903182392402,0.94060876652642,3.28314528233217,"55HEV_B02_15_I",2020,15,"55HEV_B02","Australia"
"49UCP","Green",15,"False",0.652974455049934,1.9014149260152,25.8361583396315,55.0430413521045,0.873985717926702,2.96447268147202,"49UCP_B03_15_I",2020,15,"49UCP_B03","Mongolia"
"55HEV","Green",15,"False",-2.14215772386665,3.19064997664032,-3.40223350911043,44.1925806105172,0.9304940323171,3.18704412726774,"55HEV_B03_15_I",2020,15,"55HEV_B03","Australia"
"49UCP","Red",15,"False",-0.825110675134675,1.85458009468946,1.66234719405012,49.6072164052654,0.830535098533777,2.89139551785086,"49UCP_B04_15_I",2020,15,"49UCP_B04","Mongolia"
"55HEV","Blue",5,"False",-1.14011338941523,2.66928771221544,-20.8989511893509,45.6438593713316,0.900881215399923,3.3125413761952,"55HEV_B02_05_I",2020,5,"55HEV_B02","Australia"
"55HEV","Red",15,"False",1.00902997966857,3.99210363029763,-5.1253475839854,54.9477271633597,0.886164416732052,4.98347044929913,"55HEV_B04_15_I",2020,15,"55HEV_B04","Australia"
"49UCP","NIR",15,"False",4.3059727149131,4.62175684458822,97.0267516054962,99.9925848281198,0.840925072718867,2.78583934619549,"49UCP_B08_15_I",2020,15,"49UCP_B08","Mongolia"
"55HEV","NIR",15,"False",1.146679893579,1.80015663668768,23.3452573280569,32.1423920026014,0.957446113072194,2.08754941574822,"55HEV_B08_15_I",2020,15,"55HEV_B08","Australia"
"49UCP","Blue",-15,"True",0.140808528985307,1.45779075391298,17.3355616952308,52.4457510610534,0.916425320898181,2.06377677591358,"49UCP_B02_15_D",2020,15,"49UCP_B02","Mongolia"
"55HEV","Blue",-15,"True",1.2420509743759,2.92381510802645,32.1726857652008,45.870200564481,0.878663849853616,3.44314200406445,"55HEV_B02_15_D",2020,15,"55HEV_B02","Australia"
"49UCP","Green",-15,"True",-0.647790732551818,1.66870719242733,1.7388186613698,47.0038609967722,0.858134900429421,2.64108284288425,"49UCP_B03_15_D",2020,15,"49UCP_B03","Mongolia"
"55HEV","Green",-15,"True",-1.76718712981366,2.95943767596291,1.65682605583807,44.3132224432984,0.926541105534071,3.06023982333526,"55HEV_B03_15_D",2020,15,"55HEV_B03","Australia"
"49UCP","Red",-15,"True",-1.14037307711198,1.66529281420544,-8.77849360634332,50.6933017014181,0.879444818899143,2.46258336211075,"49UCP_B04_15_D",2020,15,"49UCP_B04","Mongolia"
"55HEV","Red",-15,"True",1.67890401794418,2.78475072470588,23.7009143574757,42.1098662766671,0.929076530219198,3.09738460386571,"55HEV_B04_15_D",2020,15,"55HEV_B04","Australia"
"49UCP","NIR",-15,"True",7.262578826119,7.30103786242818,112.516590234774,112.890956028891,0.811793456958639,3.02496753040705,"49UCP_B08_15_D",2020,15,"49UCP_B08","Mongolia"
"49UCP","Green",5,"False",-0.345887294200054,1.5910793723206,-21.3514193980058,45.656894516484,0.887905872818,2.54598581081848,"49UCP_B03_05_I",2020,5,"49UCP_B03","Mongolia"
"55HEV","NIR",-15,"True",-4.23705189024917,4.47179204365032,-49.649800395501,58.4208127213158,0.885967250193217,3.8868362503557,"55HEV_B08_15_D",2020,15,"55HEV_B08","Australia"
"49UCP","Blue",20,"False",3.325225372942,3.5599538309637,89.3023906908692,91.1415080581784,0.894019834590229,2.41424084965119,"49UCP_B02_20_I",2020,20,"49UCP_B02","Mongolia"
"55HEV","Blue",20,"False",3.58715208883256,3.80901311238812,28.6859628718191,42.3927269727384,0.943860184037765,3.24289714771236,"55HEV_B02_20_I",2020,20,"55HEV_B02","Australia"
"49UCP","Green",20,"False",0.392479464379733,1.76937439795495,3.60897882636741,52.4168040208511,0.876323174227058,2.73538023341046,"49UCP_B03_20_I",2020,20,"49UCP_B03","Mongolia"
"55HEV","Green",20,"False",-2.44777950569423,3.52742577592102,-3.81139855754938,46.9882579978489,0.92614213764915,3.50053391699804,"55HEV_B03_20_I",2020,20,"55HEV_B03","Australia"
"49UCP","Red",20,"False",-1.56052965975416,2.40323761917191,-37.7498281738325,61.5532418404755,0.75447606163603,3.45901757273427,"49UCP_B04_20_I",2020,20,"49UCP_B04","Mongolia"
"55HEV","Red",20,"False",4.82095371766187,4.8643769514547,58.4930025532526,58.8799920059109,0.940423225012972,2.47617490865859,"55HEV_B04_20_I",2020,20,"55HEV_B04","Australia"
"49UCP","NIR",20,"False",7.8933402153403,8.47009583091361,110.971239311627,115.908366094849,0.436249192462579,5.12769470766047,"49UCP_B08_20_I",2020,20,"49UCP_B08","Mongolia"
"55HEV","NIR",20,"False",-0.429600163122817,2.49220450382299,12.3321700986012,39.2731789935445,0.910684967604651,3.17847651718995,"55HEV_B08_20_I",2020,20,"55HEV_B08","Australia"
"49UCP","Blue",-20,"True",2.73137731964668,2.87182977384189,81.2217450312028,82.3637298294817,0.928707298689295,2.05897840691427,"49UCP_B02_20_D",2020,20,"49UCP_B02","Mongolia"
"55HEV","Green",5,"False",-1.50660545855453,2.44854379075746,-19.2120235532682,43.253400150745,0.916282610576586,2.94159458045401,"55HEV_B03_05_I",2020,5,"55HEV_B03","Australia"
"55HEV","Blue",-20,"True",4.7226110784181,4.73936715852732,51.9998349027221,52.5323522022032,0.951459916894433,2.80356699811584,"55HEV_B02_20_D",2020,20,"55HEV_B02","Australia"
"49UCP","Green",-20,"True",-0.850865754210333,1.78903851187402,-19.3719224627581,52.6047031734262,0.845795692478823,2.75558064321009,"49UCP_B03_20_D",2020,20,"49UCP_B03","Mongolia"
"55HEV","Green",-20,"True",-2.94241383404527,3.60620155071157,-17.5514489416768,43.8340818082247,0.920300374949588,3.49474075710247,"55HEV_B03_20_D",2020,20,"55HEV_B03","Australia"
"49UCP","Red",-20,"True",-0.659226543217875,1.23644302795462,9.14408123899119,44.6689421728628,0.941015790111011,1.79611759382897,"49UCP_B04_20_D",2020,20,"49UCP_B04","Mongolia"
"55HEV","Red",-20,"True",0.585279987870269,3.4333071199524,3.95986839403187,50.2683657398252,0.878837362556725,4.24608848349119,"55HEV_B04_20_D",2020,20,"55HEV_B04","Australia"
"49UCP","NIR",-20,"True",9.08895700781743,9.24362309656352,119.82053008356,120.926524932326,0.640368760316742,4.06826852543078,"49UCP_B08_20_D",2020,20,"49UCP_B08","Mongolia"
"55HEV","NIR",-20,"True",1.21606422906603,2.29863159799136,30.2515162519774,38.7112996893088,0.930223184878688,2.71208807066937,"55HEV_B08_20_D",2020,20,"55HEV_B08","Australia"
"49UCP","Blue",25,"False",2.86239549581017,3.43996584441512,82.9358809467415,88.7359219702395,0.842585369439805,2.897636140639,"49UCP_B02_25_I",2020,25,"49UCP_B02","Mongolia"
"55HEV","Blue",25,"False",3.65906202791936,3.79802747268752,44.0698558253118,47.076304891135,0.937228552365346,2.94738776273521,"55HEV_B02_25_I",2020,25,"55HEV_B02","Australia"
"49UCP","Green",25,"False",0.319117676259909,1.5240877655204,31.1734240761434,49.9171736109805,0.899924213541684,2.24279890496333,"49UCP_B03_25_I",2020,25,"49UCP_B03","Mongolia"
"49UCP","Red",5,"False",-0.529360415286936,1.5612350685161,24.1835739724428,57.6954000820145,0.895607172938974,2.33461062448654,"49UCP_B04_05_I",2020,5,"49UCP_B04","Mongolia"
"55HEV","Green",25,"False",-2.54666163880173,3.52262719344125,-2.55430704484412,47.0701579209855,0.935778093591781,3.5525483659324,"55HEV_B03_25_I",2020,25,"55HEV_B03","Australia"
"49UCP","Red",25,"False",-0.782760798622559,1.6275446142221,16.1392086927757,55.3516935425421,0.879802290623515,2.4774038336447,"49UCP_B04_25_I",2020,25,"49UCP_B04","Mongolia"
"55HEV","Red",25,"False",3.48842576492971,3.64640631849329,51.9734683125623,53.0180596825973,0.942088831892612,2.60074248253551,"55HEV_B04_25_I",2020,25,"55HEV_B04","Australia"
"49UCP","NIR",25,"False",10.199928430962,10.5400765376278,117.403737565601,121.240228986555,0.280126120819539,6.13735733928301,"49UCP_B08_25_I",2020,25,"49UCP_B08","Mongolia"
"55HEV","NIR",25,"False",-0.388927583240092,3.45549619456015,10.0953473844285,48.1160859755111,0.815021231164631,4.26448360361764,"55HEV_B08_25_I",2020,25,"55HEV_B08","Australia"
"49UCP","Blue",-25,"True",1.36417717054743,1.81016204204005,62.1662490842941,67.1814188886659,0.930013699862845,1.95682323947821,"49UCP_B02_25_D",2020,25,"49UCP_B02","Mongolia"
"55HEV","Blue",-25,"True",3.96910078045442,4.17436244417258,34.1041962776429,44.6993497043115,0.945625691759829,3.3328429616622,"55HEV_B02_25_D",2020,25,"55HEV_B02","Australia"
"49UCP","Green",-25,"True",0.322952728087701,2.36651771397691,14.0534822456957,59.1166422319785,0.770885538903447,3.74246198277347,"49UCP_B03_25_D",2020,25,"49UCP_B03","Mongolia"
"55HEV","Green",-25,"True",-2.56868782462776,3.8181757568116,-2.11636227932444,51.699101982277,0.922121452550492,3.770281466172,"55HEV_B03_25_D",2020,25,"55HEV_B03","Australia"
"49UCP","Red",-25,"True",-0.984015151032189,1.86738595381203,10.8009553441281,57.1965648373076,0.827944260021243,2.94145338993212,"49UCP_B04_25_D",2020,25,"49UCP_B04","Mongolia"
"55HEV","Red",5,"False",0.564674356380143,1.69410556669152,24.5672884834717,33.6836746390556,0.955739126062292,2.15746517289239,"55HEV_B04_05_I",2020,5,"55HEV_B04","Australia"
"55HEV","Red",-25,"True",0.420933975086826,3.55133875680203,0.768654403692161,48.019674148267,0.883229845505782,4.59209785895365,"55HEV_B04_25_D",2020,25,"55HEV_B04","Australia"
"49UCP","NIR",-25,"True",8.90190886757802,9.10480462170449,117.006128657419,119.606509903616,0.628933050309833,4.18744724485435,"49UCP_B08_25_D",2020,25,"49UCP_B08","Mongolia"
"55HEV","NIR",-25,"True",-0.0129133157608813,3.94032376234971,21.5205240007656,51.9247557297696,0.734903327640192,4.89457431641952,"55HEV_B08_25_D",2020,25,"55HEV_B08","Australia"
"49UCP","NIR",5,"False",0.888683847585594,1.54228643718356,56.6588882270288,65.568461926771,0.940637395250028,1.74696318569661,"49UCP_B08_05_I",2020,5,"49UCP_B08","Mongolia"
"49NHC","Blue",0,"True",0,0,0,0,1,0,"49NHC_original",2020,0,"49NHC_B02","Malaysia"
"35VML","Blue",0,"True",0,0,0,0,1,0,"35VML_original",2020,0,"35VML_B02","Finland"
"34UFD","Blue",0,"True",0,0,0,0,1,0,"34UFD_original",2020,0,"34UFD_B02","Poland"
"33NTG","Blue",0,"True",0,0,0,0,1,0,"33NTG_original",2020,0,"33NTG_B02","Cameroon"
"32UQU","Blue",0,"True",0,0,0,0,1,0,"32UQU_original",2020,0,"32UQU_B02","Germany"
"32TMT","Blue",0,"True",0,0,0,0,1,0,"32TMT_original",2020,0,"32TMT_B02","Switzerland"
"32TMT","Blue",5,"False",0.247938123792613,0.639345982799141,2.87179927140161,6.25526899536548,0.99524768199755,0.973967066957201,"32TMT_B02_05_I",2020,5,"32TMT_B02","Switzerland"
"32UQU","Blue",5,"False",1.43840982789036,1.51912037799248,19.6309753265985,23.8360594958943,0.985159030269407,1.52259003232676,"32UQU_B02_05_I",2020,5,"32UQU_B02","Germany"
"33NTG","Blue",5,"False",2.5117811506882,2.55013885540773,25.6207662349359,28.1384188922043,0.993225398512731,1.88480674914188,"33NTG_B02_05_I",2020,5,"33NTG_B02","Cameroon"
"34UFD","Blue",5,"False",-0.184628993663734,1.12962006401195,-1.79316647222545,30.9001044054508,0.910242054263279,1.78534190397984,"34UFD_B02_05_I",2020,5,"34UFD_B02","Poland"
"35VML","Blue",5,"False",1.74295650565176,1.90182028041299,55.6180515355802,61.6197260102912,0.640936133916795,1.59379279946878,"35VML_B02_05_I",2020,5,"35VML_B02","Finland"
"49NHC","Blue",5,"False",3.90047849133932,4.29764370620739,9.67371446874943,10.9959872390649,0.868622646033165,3.354096875437,"49NHC_B02_05_I",2020,5,"49NHC_B02","Malaysia"
"32TMT","Green",5,"False",0.35700212960817,0.752838392568267,1.93303815136644,6.65127962768448,0.994474420483272,1.11432808488002,"32TMT_B03_05_I",2020,5,"32TMT_B03","Switzerland"
"32UQU","Green",5,"False",1.23086923267449,1.3527722166155,16.0811385082201,21.8965967725072,0.984292627611758,1.59564103699106,"32UQU_B03_05_I",2020,5,"32UQU_B03","Germany"
"33NTG","Green",5,"False",-0.825138150923371,1.15458296914169,-6.47832404875181,20.0904438871518,0.996012890935063,1.33022155901093,"33NTG_B03_05_I",2020,5,"33NTG_B03","Cameroon"
"34UFD","Green",5,"False",0.400867145134669,1.16456018932788,5.63852803266635,31.0863090100637,0.936254666516867,1.70459553974716,"34UFD_B03_05_I",2020,5,"34UFD_B03","Poland"
"35VML","Green",5,"False",1.38053222476191,1.69423373813485,42.3661723860493,61.0605545372638,0.693036940367456,1.59861668670827,"35VML_B03_05_I",2020,5,"35VML_B03","Finland"
"49NHC","Green",5,"False",-0.17758907974275,1.63880604967528,-0.2564780505041,4.62321322342602,0.932239072021302,2.32741056361371,"49NHC_B03_05_I",2020,5,"49NHC_B03","Malaysia"
"32TMT","Red",5,"False",-0.0861369942981,0.635195781479755,0.240312330337519,5.97523451702494,0.994042130577533,1.09369413918111,"32TMT_B04_05_I",2020,5,"32TMT_B04","Switzerland"
"32UQU","Red",5,"False",0.833498498641895,1.14938702589088,12.9096430571936,21.4163759355914,0.982774693918464,1.53360595027206,"32UQU_B04_05_I",2020,5,"32UQU_B04","Germany"
"33NTG","Red",5,"False",1.99297648646742,2.32628762139997,7.11904810450104,25.0700598983,0.993696937212101,2.27203246254405,"33NTG_B04_05_I",2020,5,"33NTG_B04","Cameroon"
"34UFD","Red",5,"False",0.678380978076196,1.01119439321443,5.21375943912044,24.4709690487898,0.973225659893238,1.45203041138563,"34UFD_B04_05_I",2020,5,"34UFD_B04","Poland"
"35VML","Red",5,"False",-0.10393435947555,0.391392083021505,-6.69390911317064,17.916230409274,0.938456656770554,0.660674465972292,"35VML_B04_05_I",2020,5,"35VML_B04","Finland"
"49NHC","Red",5,"False",0.994726696791781,1.73078979596152,2.62651085564185,4.77848431284313,0.939853770641331,2.21384855982086,"49NHC_B04_05_I",2020,5,"49NHC_B04","Malaysia"
"32TMT","NIR",5,"False",0.410966957367461,0.84753095829166,3.10580264077237,7.37383827106516,0.992069848252203,1.27184115217824,"32TMT_B08_05_I",2020,5,"32TMT_B08","Switzerland"
"32UQU","NIR",5,"False",1.11672789366195,1.42787222411035,13.580013549379,23.4736166468711,0.980328539362366,1.92492843917392,"32UQU_B08_05_I",2020,5,"32UQU_B08","Germany"
"33NTG","NIR",5,"False",-1.28414615737776,1.75807430210317,-13.5140131312679,29.4829115226249,0.994139105237727,1.82063604520875,"33NTG_B08_05_I",2020,5,"33NTG_B08","Cameroon"
"34UFD","NIR",5,"False",-1.09160805165296,1.42417928287764,-24.9539417223974,43.5999107768502,0.899434517916784,1.87463369499514,"34UFD_B08_05_I",2020,5,"34UFD_B08","Poland"
"35VML","NIR",5,"False",2.61636259279909,2.82714669045469,62.7046166003361,73.6035403857213,0.584379444590412,2.24467495227676,"35VML_B08_05_I",2020,5,"35VML_B08","Finland"
"49NHC","NIR",5,"False",0.778104740235052,2.7644801999235,1.56335089507372,7.52620645760923,0.856591816890455,3.74558478983115,"49NHC_B08_05_I",2020,5,"49NHC_B08","Malaysia"
"32TMT","Blue",-5,"True",0.392829572116487,0.718225678702549,1.37798458065318,6.21378602406591,0.995323398348568,1.03823284104534,"32TMT_B02_05_D",2020,5,"32TMT_B02","Switzerland"
"32UQU","Blue",-5,"True",1.43974360717781,1.64645955232822,15.1780733604685,23.4787833351479,0.977926565927575,1.84525786693904,"32UQU_B02_05_D",2020,5,"32UQU_B02","Germany"
"33NTG","Blue",-5,"True",0.099862676731325,1.03326198164785,13.315722292539,17.1017270626031,0.995797813653524,1.41286503607814,"33NTG_B02_05_D",2020,5,"33NTG_B02","Cameroon"
"34UFD","Blue",-5,"True",-0.466530088438783,1.04584379893562,-5.20446793542852,27.9090567691336,0.918551468686818,1.66694695389673,"34UFD_B02_05_D",2020,5,"34UFD_B02","Poland"
"35VML","Blue",-5,"True",2.27155150114486,2.40335496108376,62.2918306046809,68.8838926706299,0.605929344702928,1.83511145743168,"35VML_B02_05_D",2020,5,"35VML_B02","Finland"
"49NHC","Blue",-5,"True",4.01069377587129,4.19313161040752,10.0363763282842,10.6456042989156,0.915359323104198,2.65038998602546,"49NHC_B02_05_D",2020,5,"49NHC_B02","Malaysia"
"32TMT","Green",-5,"True",0.703203216699059,0.895758428120433,5.78877370334776,7.72694306899175,0.99448049245613,1.09896432117266,"32TMT_B03_05_D",2020,5,"32TMT_B03","Switzerland"
"32UQU","Green",-5,"True",1.04481456537086,1.23239034867813,10.186451330586,18.4234987089039,0.983795055384115,1.57994330142031,"32UQU_B03_05_D",2020,5,"32UQU_B03","Germany"
"33NTG","Green",-5,"True",-0.459669722417182,0.987143971786804,-6.0684135333008,13.9711505243186,0.995508904449882,1.35415779432721,"33NTG_B03_05_D",2020,5,"33NTG_B03","Cameroon"
"34UFD","Green",-5,"True",0.04907083923892,0.48479892386396,3.66002881575887,17.6618498066339,0.982777219596752,0.787863037883654,"34UFD_B03_05_D",2020,5,"34UFD_B03","Poland"
"35VML","Green",-5,"True",2.25032419064084,2.33654544276536,63.2878621025421,67.6174199279946,0.664504330707678,1.72171812045725,"35VML_B03_05_D",2020,5,"35VML_B03","Finland"
"49NHC","Green",-5,"True",3.00113910044621,3.81408815069124,6.98193710808466,9.78301851115889,0.896310264356188,3.3651029875658,"49NHC_B03_05_D",2020,5,"49NHC_B03","Malaysia"
"32TMT","Red",-5,"True",0.239661653232627,0.703981013706296,0.517976441657752,6.00334240329013,0.993987398756206,1.15060918207187,"32TMT_B04_05_D",2020,5,"32TMT_B04","Switzerland"
"32UQU","Red",-5,"True",1.55684850127513,1.81139096681317,15.6362265577199,24.5231264927646,0.977049663787578,2.42259524126533,"32UQU_B04_05_D",2020,5,"32UQU_B04","Germany"
"33NTG","Red",-5,"True",2.12405302196495,2.37918503451174,6.81322623488215,24.1171704145486,0.994642067717401,2.14741661026354,"33NTG_B04_05_D",2020,5,"33NTG_B04","Cameroon"
"34UFD","Red",-5,"True",0.567225451122226,0.923119992264463,26.1555631675171,33.5527932999227,0.963938147227784,1.17544183846421,"34UFD_B04_05_D",2020,5,"34UFD_B04","Poland"
"35VML","Red",-5,"True",1.99359462558525,2.13263128420659,59.3533248972032,64.2188614326032,0.682011331100668,1.72814507831842,"35VML_B04_05_D",2020,5,"35VML_B04","Finland"
"49NHC","Red",-5,"True",3.0710200603049,3.80078184216173,7.1384724698898,9.73303348482985,0.906099111557681,3.19390847878167,"49NHC_B04_05_D",2020,5,"49NHC_B04","Malaysia"
"32TMT","NIR",-5,"True",0.744298633568124,0.960048538275585,4.92415230767689,7.97872204939158,0.994083941044422,1.15703382065494,"32TMT_B08_05_D",2020,5,"32TMT_B08","Switzerland"
"32UQU","NIR",-5,"True",1.09265557546109,1.43622758352176,10.3788512383554,21.5077004887989,0.982885878846517,2.00240683178962,"32UQU_B08_05_D",2020,5,"32UQU_B08","Germany"
"33NTG","NIR",-5,"True",-2.18764201102331,2.36766330717367,-13.5011267939937,29.1947660186685,0.993030164854351,2.01163035100025,"33NTG_B08_05_D",2020,5,"33NTG_B08","Cameroon"
"34UFD","NIR",-5,"True",0.191423762735933,0.931708477852563,-7.64036149488402,33.8022678060644,0.969496911747825,1.33118918502539,"34UFD_B08_05_D",2020,5,"34UFD_B08","Poland"
"35VML","NIR",-5,"True",-0.259065315129447,0.544571038520653,-24.8349469398259,33.1352747848487,0.929662281970968,0.771759685323296,"35VML_B08_05_D",2020,5,"35VML_B08","Finland"
"49NHC","NIR",-5,"True",-0.251646558014532,2.33807978171401,-1.01427037960962,6.49380440806496,0.89500925824316,3.15106609793074,"49NHC_B08_05_D",2020,5,"49NHC_B08","Malaysia"
"32TMT","Blue",10,"False",0.314902890543334,0.918272324467407,5.174347362999,8.90306527345721,0.9917519177853,1.33222246544313,"32TMT_B02_10_I",2020,10,"32TMT_B02","Switzerland"
"32UQU","Blue",10,"False",1.5436539618186,1.69074890706985,24.4504834468527,29.365373669202,0.978739939942234,1.63864946089984,"32UQU_B02_10_I",2020,10,"32UQU_B02","Germany"
"33NTG","Blue",10,"False",2.34378996742028,2.37777903685228,24.0378279759939,25.7501464713451,0.994309982151433,1.78268399046081,"33NTG_B02_10_I",2020,10,"33NTG_B02","Cameroon"
"34UFD","Blue",10,"False",-0.136487540221819,1.04477934967769,13.2926656681819,33.1460130161231,0.932902172248215,1.54291212307321,"34UFD_B02_10_I",2020,10,"34UFD_B02","Poland"
"35VML","Blue",10,"False",2.70831943693895,2.82878062811323,65.6619665216973,73.8728401583911,0.637030290659318,2.06621067196682,"35VML_B02_10_I",2020,10,"35VML_B02","Finland"
"49NHC","Blue",10,"False",5.38264952804485,5.52932646170188,13.2432434017481,13.7543100779613,0.903922300295791,2.85509053768961,"49NHC_B02_10_I",2020,10,"49NHC_B02","Malaysia"
"32TMT","Green",10,"False",0.436483044509042,0.810117791005985,3.59941830372519,7.44479207732447,0.99371682214884,1.15502055252064,"32TMT_B03_10_I",2020,10,"32TMT_B03","Switzerland"
"32UQU","Green",10,"False",1.86572077715048,1.99387736102567,20.2441573198071,27.4932825321447,0.97782563340565,2.15891420573709,"32UQU_B03_10_I",2020,10,"32UQU_B03","Germany"
"33NTG","Green",10,"False",-2.95601990252799,3.52123182715381,-0.133769869736312,31.2901948787019,0.971496295000552,3.82873964161658,"33NTG_B03_10_I",2020,10,"33NTG_B03","Cameroon"
"34UFD","Green",10,"False",0.684317350337679,1.17563532607408,17.2752554865026,33.5876564423129,0.945965378742013,1.47077577793328,"34UFD_B03_10_I",2020,10,"34UFD_B03","Poland"
"35VML","Green",10,"False",2.95821377441032,3.01530378255532,74.1402714520844,76.1391895300942,0.527499773428376,2.03485106211522,"35VML_B03_10_I",2020,10,"35VML_B03","Finland"
